년,월,전화금융사기 발생건수
2018,01,3035
2018,02,2254
2018,03,2989
2018,04,2918
2018,05,2600
2018,06,2542
2018,07,3009
2018,08,2890
2018,09,2639
2018,10,2605
2018,11,3537
2018,12,3114
2019,01,3529
2019,02,2419
2019,03,3967
2019,04,3540
2019,05,3329
2019,06,3044
2019,07,3132
2019,08,2885
2019,09,2482
2019,10,2674
2019,11,3214
2019,12,3452
2020,01,2797
2020,02,2173
2020,03,2651
2020,04,2711
2020,05,2969
2020,06,2749
2020,07,2676
2020,08,2288
2020,09,2577
2020,10,1893
2020,11,3014
2020,12,3183
2021,01,3187
2021,02,2417
2021,03,4017
2021,04,2808
2021,05,2406
2021,06,2979
2021,07,2588
2021,08,2414
2021,09,1812
2021,10,1881
2021,11,2137
2021,12,2336
2022,01,2044
2022,02,1750
2022,03,2067
2022,04,2497
2022,05,2349
2022,06,1694
2022,07,1796
2022,08,1895
2022,09,1284
2022,10,1407
